iter	Passed	Remaining
399	57051	85577
400	57185	85421
401	57322	85270
402	57465	85128
403	57602	84977
404	57735	84821
405	57873	84672
406	58031	84551
407	58181	84420
408	58327	84282
409	58530	84226
410	58670	84079
411	58820	83948
412	58952	83789
413	59086	83634
414	59210	83464
415	59327	83286
416	59461	83131
417	59594	82975
418	59715	82803
419	59848	82648
420	59972	82479
421	60098	82315
422	60227	82154
423	60346	81980
424	60466	81807
425	60596	81648
426	60742	81511
427	60900	81390
428	61035	81239
429	61196	81120
430	61373	81024
431	61517	80883
432	61651	80730
433	61769	80556
434	61906	80407
435	62033	80245
436	62171	80097
437	62314	79956
438	62440	79792
439	62563	79626
440	62681	79453
441	62819	79306
442	63016	79232
443	63182	79120
444	63349	79009
445	63513	78892
446	63648	78742
447	63764	78566
448	63910	78428
449	64031	78261
450	64161	78102
451	64293	77948
452	64434	77804
453	64563	77646
454	64697	77494
455	64840	77353
456	64975	77202
457	65097	77037
458	65223	76875
459	65347	76711
460	65558	76651
461	65733	76546
462	65910	76444
463	66056	76306
464	66180	76143
465	66304	75979
466	66432	75821
467	66577	75681
468	66711	75530
469	66836	75368
470	66962	75208
471	67090	75050
472	67222	74897
473	67351	74740
474	67476	74579
475	67603	74420
476	67728	74260
477	67855	74101
478	67986	73947
479	68129	73806
480	68295	73691
481	68420	73531
482	68555	73381
483	68684	73225
484	68805	73062
485	68934	72906
486	69057	72744
487	69189	72592
488	69311	72429
489	69422	72256
490	69559	72109
491	69688	71954
492	69816	71799
493	69947	71646
494	70068	71483
495	70184	71316
496	70302	71151
497	70440	71006
498	70588	70871
499	70784	70784
500	70957	70674
501	71095	70528
502	71222	70373
503	71367	70234
504	71540	70123
505	71693	69993
506	71834	69851
507	71996	69729
508	72185	69632
509	72421	69581
510	72607	69481
511	72744	69334
512	72884	69190
513	73029	69051
514	73198	68934
515	73351	68802
516	73485	68652
517	73614	68498
518	73750	68350
519	73871	68188
520	73990	68025
521	74113	67866
522	74226	67697
523	74348	67538
524	74486	67392
525	74622	67245
526	74752	67092
527	74879	66937
528	75002	66779
529	75122	66617
530	75254	66467
531	75403	66332
532	75574	66216
533	75719	66076
534	75862	65936
535	75994	65786
536	76113	65624
537	76230	65461
538	76351	65302
539	76485	65154
540	76615	65003
541	76750	64855
542	76898	64719
543	77024	64564
544	77155	64413
545	77300	64275
546	77421	64116
547	77532	63950
548	77676	63810
549	77830	63679
550	78008	63568
551	78193	63461
552	78348	63330
553	78466	63169
554	78583	63008
555	78707	62852
556	78834	62699
557	78959	62545
558	79100	62403
559	79224	62248
560	79358	62100
561	79477	61941
562	79597	61783
563	79730	61635
564	79864	61488
565	79996	61339
566	80140	61200
567	80293	61068
568	80436	60928
569	80581	60789
570	80723	60648
571	80849	60495
572	80973	60341
573	81109	60196
574	81240	60047
575	81361	59890
576	81488	59739
577	81616	59588
578	81734	59430
579	81860	59278
580	81989	59128
581	82123	58981
582	82255	58834
583	82389	58688
584	82534	58550
585	82682	58413
586	82832	58279
587	82983	58144
588	83118	57999
589	83258	57857
590	83389	57709
591	83519	57560
592	83639	57405
593	83761	57251
594	83892	57103
595	84010	56946
596	84137	56796
597	84272	56651
598	84408	56507
599	84530	56353
600	84652	56199
601	84774	56046
602	84899	55895
603	85044	55757
604	85203	55628
605	85356	55495
606	85493	55352
607	85625	55205
608	85752	55056
609	85873	54902
610	86009	54758
611	86140	54611
612	86268	54463
613	86396	54314
614	86522	54164
615	86652	54016
616	86772	53863
617	86889	53708
618	87007	53553
619	87128	53401
620	87259	53255
621	87400	53114
622	87561	52986
623	87726	52861
624	87860	52716
625	87992	52570
626	88121	52423
627	88251	52276
628	88379	52128
629	88507	51980
630	88659	51846
631	88792	51701
632	88921	51554
633	89048	51406
634	89166	51253
635	89288	51102
636	89420	50957
637	89543	50807
638	89679	50664
639	89821	50524
640	89976	50392
641	90197	50297
642	90355	50166
643	90483	50019
644	90608	49870
645	90736	49722
646	90868	49577
647	90996	49430
648	91117	49279
649	91244	49131
650	91360	48977
651	91479	48826
652	91616	48684
653	91753	48542
654	91882	48395
655	92025	48257
656	92168	48118
657	92318	47983
658	92473	47850
659	92667	47737
660	92814	47600
661	92953	47459
662	93088	47316
663	93228	47175
664	93356	47029
665	93471	46876
666	93603	46731
667	93731	46584
668	93893	46455
669	94056	46326
670	94219	46197
671	94379	46066
672	94549	45940
673	94721	45814
674	94875	45680
675	95052	45557
676	95228	45434
677	95414	45314
678	95571	45181
679	95750	45058
680	95921	44932
681	96062	44791
682	96191	44645
683	96312	44495
684	96435	44346
685	96567	44201
686	96693	44054
687	96830	43911
688	96951	43762
689	97081	43616
690	97218	43473
691	97354	43331
692	97499	43192
693	97635	43049
694	97772	42907
695	97900	42761
696	98025	42613
697	98150	42466
698	98276	42319
699	98397	42170
700	98515	42020
701	98641	41873
702	98774	41729
703	98895	41581
704	99040	41442
705	99168	41296
706	99294	41150
707	99412	41000
708	99560	40863
709	99705	40724
710	99925	40616
711	100102	40491
712	100269	40360
713	100393	40213
714	100518	40066
715	100640	39918
716	100756	39768
717	100880	39621
718	101006	39475
719	101137	39331
720	101260	39183
721	101376	39034
722	101495	38885
723	101611	38735
724	101739	38590
725	101864	38444
726	102010	38306
727	102153	38167
728	102309	38032
729	102452	37893
730	102604	37757
731	102746	37617
732	102892	37479
733	103035	37339
734	103160	37193
735	103303	37054
736	103449	36916
737	103586	36774
738	103708	36627
739	103837	36483
740	103963	36338
741	104109	36199
742	104244	36057
743	104407	35925
744	104562	35790
745	104717	35654
746	104870	35518
747	105020	35381
748	105150	35237
749	105269	35089
750	105398	34945
751	105525	34801
752	105660	34659
753	105789	34514
754	105917	34370
755	106043	34225
756	106169	34080
757	106292	33935
758	106424	33792
759	106557	33649
760	106689	33506
761	106834	33368
762	106983	33230
763	107122	33090
764	107258	32948
765	107402	32809
766	107537	32667
767	107665	32524
768	107788	32378
769	107915	32234
770	108032	32087
771	108150	31940
772	108274	31795
773	108389	31648
774	108515	31504
775	108643	31360
776	108772	31217
777	108898	31073
778	109022	30929
779	109156	30787
780	109296	30647
781	109441	30509
782	109575	30367
783	109722	30229
784	109877	30093
785	110005	29950
786	110137	29808
787	110264	29665
788	110382	29519
789	110515	29377
790	110632	29231
791	110767	29090
792	110898	28948
793	111020	28803
794	111144	28659
795	111266	28515
796	111388	28371
797	111509	28226
798	111639	28084
799	111797	27949
800	111921	27805
801	112063	27666
802	112218	27530
803	112352	27389
804	112480	27246
805	112597	27101
806	112717	26957
807	112845	26814
808	112975	26672
809	113099	26529
810	113237	26389
811	113356	26245
812	113471	26099
813	113587	25954
814	113715	25812
815	113838	25669
816	113985	25531
817	114130	25393
818	114265	25252
819	114397	25111
820	114522	24969
821	114662	24829
822	114783	24686
823	114909	24543
824	115042	24403
825	115173	24261
826	115293	24118
827	115421	23976
828	115539	23832
829	115664	23690
830	115787	23547
831	115916	23406
832	116041	23264
833	116174	23123
834	116309	22983
835	116448	22844
836	116584	22703
837	116714	22563
838	116859	22424
